Source,Target
ANX:U' R U' R2 D R U2 R' D' R U2 R U R' U,JNX:R U' R2 D R U2 R' D' R U2 R U R'
ANX:U' R U' R2 D R U2 R' D' R U2 R U R' U,AXN:U' R U' R' U2 R' D R U2 R' D' R2 U R' U
ANX:U' R U' R2 D R U2 R' D' R U2 R U R' U,DNX:U2 R U' R2 D R U2 R' D' R U2 R U R' U2
ANX:U' R U' R2 D R U2 R' D' R U2 R U R' U,GNX:U R U' R2 D R U2 R' D' R U2 R U R' U'
ANY:R D R' D' R U' R' D R U D' R',JAN:D R' D' R U' R' D R U D'
ANY:R D R' D' R U' R' D R U D' R',AYN:R U' D R' D' R U R' D R D' R'
ANY:R D R' D' R U' R' D R U D' R',GCM:R' D R' D' R U' R' D R U D' R
ANZ:U' D R U R' D' R U' R' U,JNZ:D R U R' D' R U' R'
ANZ:U' D R U R' D' R U' R' U,AZN:U' R U R' D R U' R' U D'
ANZ:U' D R U R' D' R U' R' U,AZT:U' R U R' D' R U' R' U D
ANZ:U' D R U R' D' R U' R' U,JCM:R' U' D R U R' D' R U' R' U R
ANZ:U' D R U R' D' R U' R' U,GNZ:U D R U R' D' R U' R' U'
AOD:U' R' B R U' R' D' R U R' D B' R U,JOA:R' B R U' R' D' R U R' D B' R
AOE:R' U' R U2 R D' R' U2 R D R2 U R,JOB:R U2 R D' R' U2 R D R2
AOF:R' F R U D' R D R' U' R D' R' D R' F' R,JQE:R U D' R D R' U' R D' R' D R'
AOM:R' F2 R D' R D R2 F' R2 D' R' D R' F' R,GPB:R' F R D' R D R2 F' R2 D' R' D
AOM:R' F2 R D' R D R2 F' R2 D' R' D R' F' R,DOM:U' R' F2 R D' R D R2 F' R2 D' R' D R' F' R U
AON:U R B' R2 D R U2 R' D' R U2 R B R' U',DON:R B' R2 D R U2 R' D' R U2 R B R'
AON:U R B' R2 D R U2 R' D' R U2 R B R' U',GON:U' R B' R2 D R U2 R' D' R U2 R B R' U
AOR:R' U' R U R D' R' U' R D R2 U R,GCQ:U' R U R D' R' U' R D R2 U
AOR:R' U' R U R D' R' U' R D R2 U R,ARO:R' U' R2 D' R' U R D R' U' R' U R
AOR:R' U' R U R D' R' U' R D R2 U R,DOR:U' R' U' R U R D' R' U' R D R2 U R U
AOS:R' B R U2 R' D' R U R' D R U R' B' R,AZD:U2 R' D' R U R' D R U
AOS:R' B R U2 R' D' R U R' D R U R' B' R,ASO:R' B R U' R' D' R U' R' D R U2 R' B' R
AOT:U2 R' U R2 D' R2 U' R U R2 D R2 U,JOT:U' R' U R2 D' R2 U' R U R2 D R2
AOT:U2 R' U R2 D' R2 U' R U R2 D R2 U,ATO:U' R2 D' R2 U' R' U R2 D R2 U' R U2
AOT:U2 R' U R2 D' R2 U' R U R2 D R2 U,GOT:R' U R2 D' R2 U' R U R2 D R2 U'
AOW:R' F R U2 D' R D R' U2 R D' R' D R' F' R,JQB:R U2 D' R D R' U2 R D' R' D R'
AOW:R' F R U2 D' R D R' U2 R D' R' D R' F' R,AWO:R' F R D' R D R' U2 R D' R' U2 D R' F' R
AOX:U R B' R2 D' R U2 R' D R U2 R B R' U',DOX:R B' R2 D' R U2 R' D R U2 R B R'
AOX:U R B' R2 D' R U2 R' D R U2 R B R' U',AXO:U R B' R' U2 R' D' R U2 R' D R2 B R' U'
AOX:U R B' R2 D' R U2 R' D R U2 R B R' U',GOX:U' R B' R2 D' R U2 R' D R U2 R B R' U
AOY:U' R2 U' R' U R D' R' U' R U D R2 U,JOY:R2 U' R' U R D' R' U' R U D R2
AOY:U' R2 U' R' U R D' R' U' R U D R2 U,AYO:U' R2 U' D' R' U R D R' U' R U R2 U
AOY:U' R2 U' R' U R D' R' U' R U D R2 U,GOY:U R2 U' R' U R D' R' U' R U D R2 U'
AOZ:U' R U' R D' R' U R D R2 U,JOZ:R U' R D' R' U R D R2
AOZ:U' R U' R D' R' U R D R2 U,ARN:U' D R U' R D' R' U R D R2 U D'
AOZ:U' R U' R D' R' U R D R2 U,AZO:U' R2 D' R' U' R D R' U R' U
AOZ:U' R U' R D' R' U R D R2 U,GOZ:U R U' R D' R' U R D R2 U'
APD:U D' R D R' U R D' R' U2 D,ASD:U R D R' U R D' R' U2
APD:U D' R D R' U R D' R' U2 D,GDP:D' R D R' U R D' R' U' D
APD:U D' R D R' U R D' R' U2 D,JGP:U' D' R D R' U R D' R' D
APD:U D' R D R' U R D' R' U2 D,JPA:U2 D' R D R' U R D' R' U D
APE:R U R' U' D' R D R' U2 R D' R' U' D R U' R',GFO:R' U' D' R D R' U2 R D' R' U' D R
APF:R' F R U R D' R' U' R D R2 F' R,JOE:R U R D' R' U' R D R2
APM:R' F2 R2 D' R' U' R D R' U R' F2 R,JZO:R2 D' R' U' R D R' U R'
APN:R B R' U' D R' D' R U2 R' D R U' D' R B' R',ATN:R' U' D R' D' R U2 R' D R U' D' R
APR:U2 R' U R2 D' R' U2 R D R' U2 R' U' R U2,GPR:R' U R2 D' R' U2 R D R' U2 R' U' R
APR:U2 R' U R2 D' R' U2 R D R' U2 R' U' R U2,ARP:U2 R' U R U2 R D' R' U2 R D R2 U' R U2
APR:U2 R' U R2 D' R' U2 R D R' U2 R' U' R U2,DPR:U R' U R2 D' R' U2 R D R' U2 R' U' R U'
APR:U2 R' U R2 D' R' U2 R D R' U2 R' U' R U2,JPR:U' R' U R2 D' R' U2 R D R' U2 R' U' R U
APS:R B R' U2 R D R' U2 R D' B' R',AQT:D' R' U2 R D R' U2 R
APS:R B R' U2 R D R' U2 R D' B' R',ASP:R B D R' U2 R D' R' U2 R B' R'
APS:R B R' U2 R D R' U2 R D' B' R',GSA:U2 R D R' U2 R D' R'
APT:R' D' R D R' U2 R D' R' U2 D R,GAP:D' R D R' U2 R D' R' U2 D
APT:R' D' R D R' U2 R D' R' U2 D R,ATP:R' U2 D' R D R' U2 R D' R' D R
